date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2023-01-04,BBCA,2,1.5,3.0,1,1,0
2023-01-05,BBCA,2,0.16666666666666666,0.3333333333333333,1,1,0
2023-01-06,BBCA,2,-0.5,-1.0,1,0,1
2023-01-09,BBCA,1,2.0,2.0,1,0,0
2023-01-10,BBCA,1,1.0,1.0,1,0,0
2023-01-11,BBCA,5,1.61,8.05,5,0,0
2023-01-12,BBCA,1,-1.5,-1.5,0,0,1
2023-01-16,BBCA,2,0.25,0.5,1,0,1
2023-01-17,BBCA,2,1.8333333333333335,3.666666666666667,2,0,0
2023-01-19,BBCA,3,0.888888888888889,2.666666666666667,2,0,1
2023-01-20,BBCA,3,0.10277777777777786,0.30833333333333357,2,0,1
2023-01-21,BBCA,1,0.25,0.25,1,0,0
2023-01-22,BBCA,2,-0.8333333333333333,-1.6666666666666665,0,0,2
2023-01-23,BBCA,2,2.0,4.0,2,0,0
2023-01-24,BBCA,4,-0.8625,-3.45,0,0,4
2023-01-25,BBCA,5,-0.9257142857142856,-4.628571428571428,2,0,3
2023-01-26,BBCA,4,-1.0,-4.0,1,0,3
2023-01-27,BBCA,5,0.27999999999999997,1.4,2,0,3
2023-01-28,BBCA,2,-3.0,-6.0,0,0,2
2023-01-29,BBCA,1,2.5,2.5,1,0,0
2023-01-30,BBCA,1,-0.5,-0.5,0,0,1
2023-01-31,BBCA,2,-0.5,-1.0,0,1,1
2023-02-01,BBCA,7,-0.5976190476190476,-4.183333333333334,2,0,5
2023-02-02,BBCA,6,-0.6857142857142856,-4.114285714285714,1,0,5
2023-02-03,BBCA,1,3.0,3.0,1,0,0
2023-02-06,BBCA,3,0.6666666666666666,2.0,2,0,1
2023-02-07,BBCA,1,0.6666666666666666,0.6666666666666666,1,0,0
2023-02-08,BBCA,1,3.0,3.0,1,0,0
2023-02-09,BBCA,2,1.0,2.0,1,0,1
2023-02-10,BBCA,2,-1.75,-3.5,1,0,1
2023-02-12,BBCA,2,-0.33333333333333337,-0.6666666666666667,1,0,1
2023-02-13,BBCA,1,3.0,3.0,1,0,0
2023-02-23,BBCA,1,1.0,1.0,1,0,0
2023-02-24,BBCA,3,1.25,3.75,2,1,0
2023-02-26,BBCA,1,3.0,3.0,1,0,0
2023-02-27,BBCA,3,0.11111111111111116,0.3333333333333335,1,0,2
2023-03-01,BBCA,1,-1.5,-1.5,0,0,1
2023-03-02,BBCA,3,-0.611111111111111,-1.8333333333333333,1,0,2
2023-03-03,BBCA,1,0.5,0.5,1,0,0
2023-03-04,BBCA,1,3.0,3.0,1,0,0
2023-03-06,BBCA,3,1.25,3.75,2,1,0
2023-03-07,BBCA,1,1.5,1.5,1,0,0
2023-03-08,BBCA,1,0.5,0.5,1,0,0
2023-03-09,BBCA,1,2.6666666666666665,2.6666666666666665,1,0,0
2023-03-10,BBCA,3,-1.1666666666666667,-3.5,1,0,2
2023-03-11,BBCA,1,0.0,0.0,0,1,0
2023-03-12,BBCA,1,1.0,1.0,1,0,0
2023-03-13,BBCA,1,2.0,2.0,1,0,0
2023-03-14,BBCA,3,-0.3333333333333333,-1.0,1,1,1
2023-03-16,BBCA,4,-0.125,-0.5,0,3,1
2023-03-17,BBCA,1,1.0,1.0,1,0,0
2023-03-19,BBCA,1,1.0,1.0,1,0,0
2023-03-20,BBCA,6,0.6666666666666666,4.0,4,0,2
2023-03-21,BBCA,3,1.4166666666666667,4.25,2,1,0
2023-03-24,BBCA,1,2.6666666666666665,2.6666666666666665,1,0,0
2023-03-27,BBCA,3,1.888888888888889,5.666666666666667,3,0,0
2023-03-28,BBCA,2,-1.0,-2.0,1,0,1
2023-03-30,BBCA,1,-1.5,-1.5,0,0,1
2023-03-31,BBCA,2,2.125,4.25,2,0,0
2023-04-01,BBCA,1,1.0,1.0,1,0,0
2023-04-03,BBCA,2,-0.5,-1.0,1,0,1
2023-04-04,BBCA,2,2.0,4.0,2,0,0
