date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2023-01-02,BBRI,1,-4.0,-4.0,0,0,1
2023-01-03,BBRI,1,-1.3333333333333333,-1.3333333333333333,0,0,1
2023-01-04,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2023-01-09,BBRI,1,-1.0,-1.0,0,0,1
2023-01-12,BBRI,1,3.0,3.0,1,0,0
2023-01-17,BBRI,1,-5.0,-5.0,0,0,1
2023-01-24,BBRI,1,0.3333333333333333,0.3333333333333333,1,0,0
2023-01-25,BBRI,1,2.0,2.0,1,0,0
2023-02-08,BBRI,4,2.2708333333333335,9.083333333333334,3,0,1
2023-02-15,BBRI,1,-0.5,-0.5,0,0,1
2023-02-16,BBRI,1,0.0,0.0,0,1,0
2023-02-22,BBRI,1,2.0,2.0,1,0,0
2023-03-07,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2023-03-13,BBRI,2,1.0,2.0,1,0,1
2023-03-20,BBRI,1,3.0,3.0,1,0,0
2023-03-29,BBRI,1,-1.0,-1.0,0,0,1
2023-04-03,BBRI,1,0.5,0.5,1,0,0
2023-04-13,BBRI,1,3.6666666666666665,3.6666666666666665,1,0,0
2023-04-14,BBRI,1,3.0,3.0,1,0,0
2023-05-19,BBRI,3,3.222222222222222,9.666666666666666,3,0,0
2023-05-22,BBRI,1,2.0,2.0,1,0,0
2023-05-23,BBRI,1,3.0,3.0,1,0,0
2023-05-24,BBRI,1,1.0,1.0,1,0,0
2023-06-12,BBRI,1,-4.0,-4.0,0,0,1
2023-07-18,BBRI,1,2.0,2.0,1,0,0
2023-07-27,BBRI,1,2.0,2.0,1,0,0
2023-08-01,BBRI,1,0.0,0.0,0,1,0
2023-08-09,BBRI,1,1.0,1.0,1,0,0
2023-08-15,BBRI,1,0.5,0.5,1,0,0
2023-08-28,BBRI,1,1.0,1.0,1,0,0
2023-08-30,BBRI,3,2.888888888888889,8.666666666666666,3,0,0
2023-08-31,BBRI,1,3.0,3.0,1,0,0
2023-09-12,BBRI,1,3.5,3.5,1,0,0
2023-09-20,BBRI,1,3.3333333333333335,3.3333333333333335,1,0,0
