date,published_at,source,stock,title,summary,raw_text,clean_text,tokens,stemmed_text,url,sentiment_score,sentiment_label,raw_sentiment_score
2023-01-02,3 tahun yang lalu,CNBC Indonesia,BBRI,"Perdagangan Perdana di 2023, Saham BBRI Malah Ambles",,"Perdagangan Perdana di 2023, Saham BBRI Malah Ambles",perdagangan perdana di saham bbri malah ambles,perdagangan perdana saham bbri ambles,dagang perdana saham bbri ambles,https://www.cnbcindonesia.com/research/20230102091629-128-401961/perdagangan-perdana-di-2023-saham-bbri-malah-ambles,-4.0,negatif,-4
2023-01-03,3 tahun yang lalu,CNBC Indonesia,BBRI,Pengumuman! BRI Cairkan Dividen Rp 8 T di Tanggal Ini,,Pengumuman! BRI Cairkan Dividen Rp 8 T di Tanggal Ini,pengumuman bri cairkan dividen rp t di tanggal ini,pengumuman bri cairkan dividen rp tanggal,umum bri cair dividen rp tanggal,https://www.cnbcindonesia.com/market/20230103233743-17-402553/pengumuman-bri-cairkan-dividen-rp-8-t-di-tanggal-ini,-1.3333333333333333,negatif,-4
2023-01-04,3 tahun yang lalu,CNBC Indonesia,BBCA,Ada Salim & Tangan Dingin Mochtar Riady Di balik Kerajaan BCA,,Ada Salim & Tangan Dingin Mochtar Riady Di balik Kerajaan BCA,ada salim tangan dingin mochtar riady di balik kerajaan bca,salim tangan dingin mochtar riady kerajaan bca,salim tangan dingin mochtar riady raja bca,https://www.cnbcindonesia.com/market/20230104194932-17-402876/ada-salim-tangan-dingin-mochtar-riady-di-balik-kerajaan-bca,3.0,positif,9
2023-01-04,3 tahun yang lalu,CNBC Indonesia,BBRI,"Guyur Pemegang Saham Hingga Rp 8 T, Transaksi BBRI Teraktif!",,"Guyur Pemegang Saham Hingga Rp 8 T, Transaksi BBRI Teraktif!",guyur pemegang saham hingga rp t transaksi bbri teraktif,guyur pemegang saham rp transaksi bbri teraktif,guyur pegang saham rp transaksi bbri aktif,https://www.cnbcindonesia.com/research/20230104112446-128-402687/guyur-pemegang-saham-hingga-rp-8-t-transaksi-bbri-teraktif,1.3333333333333333,positif,4
2023-01-04,3 tahun yang lalu,CNBC Indonesia,BBCA,"Jreng! Investor Asing Buang BBCA, Masuk ke Saham Sandiaga Uno",,"Jreng! Investor Asing Buang BBCA, Masuk ke Saham Sandiaga Uno",jreng investor asing buang bbca masuk ke saham sandiaga uno,jreng investor asing buang bbca saham sandiaga uno,jreng investor asing buang bbca saham sandiaga uno,https://www.cnbcindonesia.com/market/20230104081302-17-402589/jreng-investor-asing-buang-bbca-masuk-ke-saham-sandiaga-uno,0.0,netral,0
2023-01-05,3 tahun yang lalu,CNBC Indonesia,BBCA,"Gokil! Dari BCA Harta Duo Hartono Naik Rp 6,72 T Setahun",,"Gokil! Dari BCA Harta Duo Hartono Naik Rp 6,72 T Setahun",gokil dari bca harta duo hartono naik rp t setahun,gokil bca harta duo hartono rp setahun,gokil bca harta duo hartono rp tahun,https://www.cnbcindonesia.com/research/20230105212736-128-403214/gokil-dari-bca-harta-duo-hartono-naik-rp-672-t-setahun,0.0,netral,0
2023-01-05,3 tahun yang lalu,CNBC Indonesia,BBCA,'Keinginan Semesta' di Balik Besarnya BCA Milik Grup Djarum,,'Keinginan Semesta' di Balik Besarnya BCA Milik Grup Djarum,keinginan semesta di balik besarnya bca milik grup djarum,semesta besarnya bca milik grup djarum,semesta besar bca milik grup djarum,https://www.cnbcindonesia.com/market/20230105115650-17-403053/keinginan-semesta-di-balik-besarnya-bca-milik-grup-djarum,0.3333333333333333,positif,1
2023-01-06,3 tahun yang lalu,CNBC Indonesia,BBCA,"IHSG Rebound, Tapi Kok 4 Saham 'Penguasanya' Loyo, Kenapa?",,"IHSG Rebound, Tapi Kok 4 Saham 'Penguasanya' Loyo, Kenapa?",ihsg rebound tapi kok saham penguasanya loyo kenapa,ihsg rebound saham penguasanya loyo,ihsg rebound saham kuasa loyo,https://www.cnbcindonesia.com/research/20230106094835-128-403360/ihsg-rebound-tapi-kok-4-saham-penguasanya-loyo-kenapa,3.0,positif,3
2023-01-06,3 tahun yang lalu,CNBC Indonesia,BBCA,Saham Bank Raksasa Grup Djarum Menuju Rp 8.000! Serok?,,Saham Bank Raksasa Grup Djarum Menuju Rp 8.000! Serok?,saham bank raksasa grup djarum menuju rp serok,saham bank raksasa grup djarum rp serok,saham bank raksasa grup djarum rp serok,https://www.cnbcindonesia.com/research/20230106091823-128-403345/saham-bank-raksasa-grup-djarum-menuju-rp-8000-serok,-4.0,negatif,-4
2023-01-09,3 tahun yang lalu,CNBC Indonesia,BBRI,Catat! Hari Ini Tanggal Terakhir Penerimaan Hak Dividen BRI,,Catat! Hari Ini Tanggal Terakhir Penerimaan Hak Dividen BRI,catat hari ini tanggal terakhir penerimaan hak dividen bri,catat tanggal penerimaan hak dividen bri,catat tanggal terima hak dividen bri,https://www.cnbcindonesia.com/research/20230109101036-128-403867/catat-hari-ini-tanggal-terakhir-penerimaan-hak-dividen-bri,-1.0,negatif,-2
