date,published_at,source,stock,keyword,title,summary,url,is_sector_news
2024-12-17,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Djohan Emir Setijoso Mundur dari Kursi Presiden Komisaris BCA (BBCA),,https://www.cnbcindonesia.com/market/20241217163708-17-596743/djohan-emir-setijoso-mundur-dari-kursi-presiden-komisaris-bca--bbca-,0
2024-12-12,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Diskon 12.12! IHSG Ditutup Koreksi Nyaris 1%,,https://www.cnbcindonesia.com/market/20241212163616-17-595504/diskon-1212-ihsg-ditutup-koreksi-nyaris-1,0
2024-12-05,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Video: Adu Laba 4 Bank Besar: BRI, BCA, BNI, Mandiri, Ini Pemenangnya!",,https://www.cnbcindonesia.com/market/20241205154942-19-593706/video-adu-laba-4-bank-besar-bri-bca-bni-mandiri-ini-pemenangnya,0
2024-12-05,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Gokil! Aset BRI, Mandiri, BCA & BNI Hampir Setengah Harta Indonesia",,https://www.cnbcindonesia.com/research/20241205073234-128-593507/gokil-aset-bri-mandiri-bca-bni-hampir-setengah-harta-indonesia,0
2024-12-03,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Adu Laba BRI, BCA, BNI, Mandiri per Oktober 2024 : Siapa Juaranya?",,https://www.cnbcindonesia.com/research/20241203112853-128-592932/adu-laba-bri-bca-bni-mandiri-per-oktober-2024-siapa-juaranya,0
2024-11-20,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Deretan Emiten Siap Tebar Dividen Interim : Ada yang Kasih Cuan 10%!,,https://www.cnbcindonesia.com/research/20241120104824-128-589603/deretan-emiten-siap-tebar-dividen-interim-ada-yang-kasih-cuan-10,0
2024-11-13,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Musim Dividen Interim Big Bank Dimulai : Investor BCA Bersiaplah,,https://www.cnbcindonesia.com/research/20241113091924-128-587801/musim-dividen-interim-big-bank-dimulai-investor-bca-bersiaplah,0
2024-11-12,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,BCA (BBCA) Akan Bagikan Dividen Interim Tunai Rp50 per Saham,,https://www.cnbcindonesia.com/market/20241112161543-17-587622/bca--bbca--akan-bagikan-dividen-interim-tunai-rp50-per-saham,0
2024-10-01,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Saham Big Bank Koreksi, Kesempatan Cicil Beli Mulai Lagi?",,https://www.cnbcindonesia.com/research/20241001081223-128-575886/saham-big-bank-koreksi-kesempatan-cicil-beli-mulai-lagi,0
2024-09-24,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Video: Bankir Soal Keamanan Transaksi Digital & Nasib Kantor Cabang,,https://www.cnbcindonesia.com/market/20240924153532-19-574230/video-bankir-soal-keamanan-transaksi-digital-nasib-kantor-cabang,0
2024-09-24,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Video: Jurus Bank Dorong Transaksi Digital Saat Daya Beli Tertekan,,https://www.cnbcindonesia.com/market/20240924150543-19-574219/video-jurus-bank-dorong-transaksi-digital-saat-daya-beli-tertekan,0
2024-09-23,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"4 Bank Raksasa RI Punya Aset Rp 1.000 Triliun Lebih, Mandiri Juara!",,https://www.cnbcindonesia.com/research/20240923085932-128-573734/4-bank-raksasa-ri-punya-aset-rp-1000-triliun-lebih-mandiri-juara,0
2024-09-19,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Saham Bank Himbara Melesat, Investor AS - Korea Rajin Akumulasi!",,https://www.cnbcindonesia.com/research/20240919124454-128-572971/saham-bank-himbara-melesat-investor-as--korea-rajin-akumulasi,0
2024-09-19,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Lengkap! Laba BRI, BCA, BNI, & Mandiri per Juli 2024: Siapa Terbesar?",,https://www.cnbcindonesia.com/research/20240919081133-128-572890/lengkap-laba-bri-bca-bni-mandiri-per-juli-2024-siapa-terbesar,0
2024-09-03,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"BCA Finance dan BCA Multi Finance Resmi Merger, Ini Nasib Nasabahnya",,https://www.cnbcindonesia.com/market/20240903165218-17-568819/bca-finance-dan-bca-multi-finance-resmi-merger-ini-nasib-nasabahnya,0
2024-08-23,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Ekspansif Salurkan Kredit, Aset Big Bank RI Masih Sehat Bugar!",,https://www.cnbcindonesia.com/research/20240823113824-128-565829/ekspansif-salurkan-kredit-aset-big-bank-ri-masih-sehat-bugar,0
2024-07-25,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"NPL BCA (BBCA) Naik, Ini Penyebabnya",,https://www.cnbcindonesia.com/market/20240725132845-17-557570/npl-bca--bbca--naik-ini-penyebabnya,0
2024-07-23,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Musim Laporan Keuangan Segera Tiba, Begini Proyeksi Cuan Big Bank!",,https://www.cnbcindonesia.com/research/20240723152728-128-556966/musim-laporan-keuangan-segera-tiba-begini-proyeksi-cuan-big-bank,0
2024-07-23,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Saham Bank Jumbo Bangkit, BBNI Paling Kenceng, Naik 16% Sebulan",,https://www.cnbcindonesia.com/market/20240723090606-17-556830/saham-bank-jumbo-bangkit-bbni-paling-kenceng-naik-16-sebulan,0
2024-07-15,1 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Asing Ramai-Ramai Serbu Bursa Saham RI: BRIS - TLKM Paling Laris,,https://www.cnbcindonesia.com/research/20240715132547-128-554684/asing-ramai-ramai-serbu-bursa-saham-ri-bris--tlkm-paling-laris,0
