date,published_at,source,stock,keyword,title,summary,url,is_sector_news
2026-05-20,20 Mei 2026,Kontan,BBCA,BBCA,"Konglomerasi Tergeser, Saham Perbankan Kembali Puncaki Kapitalisasi Pasar BEI",,https://investasi.kontan.co.id/news/konglomerasi-tergeser-saham-perbankan-kembali-puncaki-kapitalisasi-pasar-bei,0
2026-05-19,19 Mei 2026,Kontan,BBCA,BBCA,"Market Cap Saham Konglomerasi Ambruk, BBCA Kembali Memimpin",,https://investasi.kontan.co.id/news/market-cap-saham-konglomerasi-ambruk-bbca-kembali-memimpin,0
2026-05-19,19 Mei 2026,Kontan,BBCA,BBCA,"Saham Big Banks Bergerak Fluktuatif, BBCA Paling Tertekan Sesi I Selasa (19/5)",,https://keuangan.kontan.co.id/news/saham-big-banks-bergerak-fluktuatif-bbca-paling-tertekan-sesi-i-selasa-195,0
2026-05-18,18 Mei 2026,Kontan,BBCA,BBCA,"BBCA Berhasil Bertahan Kala Saham Bank Terkapar, Simak Rekomendasi Analis",,https://keuangan.kontan.co.id/news/bbca-berhasil-bertahan-kala-saham-bank-terkapar-simak-rekomendasi-analis,0
2026-05-17,17 Mei 2026,Kontan,BBCA,BBCA,"Saham Perbankan BBRI, BMRI, BBCA Banyak Dilepas Asing Meski Bertahan di MSCI",,https://insight.kontan.co.id/news/saham-perbankan-bbri-bmri-bbca-banyak-dilepas-asing-meski-bertahan-di-msci,0
2026-05-15,15 Mei 2026,Kontan,BBCA,BBCA,"Menakar Prospek Saham Big Banks: BBCA, BBRI, BMRI & BBNI Pasca Pengumuman MSCI",,https://keuangan.kontan.co.id/news/menakar-prospek-saham-big-banks-bbca-bbri-bmri-bbni-pasca-pengumuman-msci,0
2026-05-13,13 Mei 2026,Kontan,BBCA,BBCA,Saham-Saham Ini Berpotensi Paling Terdampak oleh Rebalancing MSCI,,https://investasi.kontan.co.id/news/saham-saham-ini-berpotensi-paling-terdampak-oleh-rebalancing-msci,0
2026-05-13,13 Mei 2026,Kontan,BBCA,BBCA,"Fase Koreksi Berlanjut, Simak Rekomendasi Saham Pilihan MNC Sekuritas Hari Ini (13/5)",,https://investasi.kontan.co.id/news/fase-koreksi-berlanjut-simak-rekomendasi-saham-pilihan-mnc-sekuritas-hari-ini-135,0
2026-05-13,13 Mei 2026,Kontan,BBCA,BBCA,"Jelang Rebalancing MSCI 12 Mei, Saham Big Banks Berisiko Tertekan Lagi",,https://insight.kontan.co.id/news/jelang-rebalancing-msci-12-mei-saham-big-banks-berisiko-tertekan-lagi,0
2026-05-11,11 Mei 2026,Kontan,BBCA,BBCA,"Saham Big Banks Menguat Meski Sebagian Masih Dilego Asing, Simak Rekomendasi Analis",,https://keuangan.kontan.co.id/news/saham-big-banks-menguat-meski-sebagian-masih-dilego-asing-simak-rekomendasi-analis,0
