date,published_at,source,stock,keyword,title,summary,url,is_sector_news
2023-01-02,3 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,"Perdagangan Perdana di 2023, Saham BBRI Malah Ambles",,https://www.cnbcindonesia.com/research/20230102091629-128-401961/perdagangan-perdana-di-2023-saham-bbri-malah-ambles,0
2023-01-03,3 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,Pengumuman! BRI Cairkan Dividen Rp 8 T di Tanggal Ini,,https://www.cnbcindonesia.com/market/20230103233743-17-402553/pengumuman-bri-cairkan-dividen-rp-8-t-di-tanggal-ini,0
2023-01-04,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,Ada Salim & Tangan Dingin Mochtar Riady Di balik Kerajaan BCA,,https://www.cnbcindonesia.com/market/20230104194932-17-402876/ada-salim-tangan-dingin-mochtar-riady-di-balik-kerajaan-bca,0
2023-01-04,3 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,"Guyur Pemegang Saham Hingga Rp 8 T, Transaksi BBRI Teraktif!",,https://www.cnbcindonesia.com/research/20230104112446-128-402687/guyur-pemegang-saham-hingga-rp-8-t-transaksi-bbri-teraktif,0
2023-01-04,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Jreng! Investor Asing Buang BBCA, Masuk ke Saham Sandiaga Uno",,https://www.cnbcindonesia.com/market/20230104081302-17-402589/jreng-investor-asing-buang-bbca-masuk-ke-saham-sandiaga-uno,0
2023-01-05,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Gokil! Dari BCA Harta Duo Hartono Naik Rp 6,72 T Setahun",,https://www.cnbcindonesia.com/research/20230105212736-128-403214/gokil-dari-bca-harta-duo-hartono-naik-rp-672-t-setahun,0
2023-01-05,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,'Keinginan Semesta' di Balik Besarnya BCA Milik Grup Djarum,,https://www.cnbcindonesia.com/market/20230105115650-17-403053/keinginan-semesta-di-balik-besarnya-bca-milik-grup-djarum,0
2023-01-06,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"IHSG Rebound, Tapi Kok 4 Saham 'Penguasanya' Loyo, Kenapa?",,https://www.cnbcindonesia.com/research/20230106094835-128-403360/ihsg-rebound-tapi-kok-4-saham-penguasanya-loyo-kenapa,0
2023-01-06,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Saham Bank Raksasa Grup Djarum Menuju Rp 8.000! Serok?,,https://www.cnbcindonesia.com/research/20230106091823-128-403345/saham-bank-raksasa-grup-djarum-menuju-rp-8000-serok,0
2023-01-09,3 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,Catat! Hari Ini Tanggal Terakhir Penerimaan Hak Dividen BRI,,https://www.cnbcindonesia.com/research/20230109101036-128-403867/catat-hari-ini-tanggal-terakhir-penerimaan-hak-dividen-bri,0
2023-01-09,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,"Mochtar Riady 'Dewa Bankir', Pengelola Duit Orang Terkaya RI!",,https://www.cnbcindonesia.com/market/20230109092715-17-403845/mochtar-riady-dewa-bankir-pengelola-duit-orang-terkaya-ri,0
2023-01-10,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Saham BCA Anjlok Terus, Pasang Harga Segini Kalau Mau Serok",,https://www.cnbcindonesia.com/market/20230110144305-17-404341/saham-bca-anjlok-terus-pasang-harga-segini-kalau-mau-serok,0
2023-01-11,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Bos BCA & BRI Borong Saham Saat Murah, Gimana Cara Hitungnya?",,https://www.cnbcindonesia.com/mymoney/20230111161728-72-404716/bos-bca-bri-borong-saham-saat-murah-gimana-cara-hitungnya,0
2023-01-11,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"IHSG Longsor, Apa Benar Big Bank Udah Kemahalan?",,https://www.cnbcindonesia.com/market/20230111005501-17-404471/ihsg-longsor-apa-benar-big-bank-udah-kemahalan,0
2023-01-11,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,"Mumpung Murah! John Kosasih Borong Saham BCA, Ikutan Gak Ya?",,https://www.cnbcindonesia.com/market/20230111080813-17-404508/mumpung-murah-john-kosasih-borong-saham-bca-ikutan-gak-ya,0
2023-01-11,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"10 Saham Terbesar di BEI, 5 Punya Orang Terkaya RI",,https://www.cnbcindonesia.com/market/20230111103302-17-404575/10-saham-terbesar-di-bei-5-punya-orang-terkaya-ri,0
2023-01-11,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,Cerita Lengkap Efek Mengerikan Bank yang Picu Big Four Gugur,,https://www.cnbcindonesia.com/market/20230111122547-17-404617/cerita-lengkap-efek-mengerikan-bank-yang-picu-big-four-gugur,0
2023-01-12,3 tahun yang lalu,CNBC Indonesia,BBRI,saham BBRI,"BBRI Naik Lagi, Begini Prospek ke Depannya",,https://www.cnbcindonesia.com/research/20230112140707-128-404995/bbri-naik-lagi-begini-prospek-ke-depannya,0
2023-01-12,3 tahun yang lalu,CNBC Indonesia,BBCA,saham bank,Ramalan 4 Analis Soal Efek Mengerikan Perbankan RI,,https://www.cnbcindonesia.com/market/20230112132252-17-404979/ramalan-4-analis-soal-efek-mengerikan-perbankan-ri,1
2023-01-16,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,"Jokowi Tutup Pintu Keluar Dolar Eksportir, Bos BCA Buka Suara",,https://www.cnbcindonesia.com/market/20230116120606-17-405718/jokowi-tutup-pintu-keluar-dolar-eksportir-bos-bca-buka-suara,0
2023-01-16,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,"Pintu Keluar Dolar Eksportir Ditutup, Tak Takut Asing Kabur?",,https://www.cnbcindonesia.com/market/20230116122658-17-405741/pintu-keluar-dolar-eksportir-ditutup-tak-takut-asing-kabur,0
2023-01-17,3 tahun yang lalu,CNBC Indonesia,BBCA,BCA,Bos BCA Dukung Jokowi Tutup Pintu Keluar Dolar Eksportir,,https://www.cnbcindonesia.com/market/20230117081616-17-405961/bos-bca-dukung-jokowi-tutup-pintu-keluar-dolar-eksportir,0
2023-01-17,3 tahun yang lalu,CNBC Indonesia,BBCA,NPL,"Kredit Macet Tinggi, BTN Jual Apartemen & Mall Rp 1 T Nih",,https://www.cnbcindonesia.com/market/20230117142123-17-406128/kredit-macet-tinggi-btn-jual-apartemen-mall-rp-1-t-nih,1
2023-01-17,3 tahun yang lalu,CNBC Indonesia,BBRI,Bank Rakyat Indonesia,"Visioner! Ekonomi Jelek Atau Moncer, BRI Punya Strateginya",,https://www.cnbcindonesia.com/market/20230117150843-17-406163/visioner-ekonomi-jelek-atau-moncer-bri-punya-strateginya,0
2023-01-19,3 tahun yang lalu,CNBC Indonesia,BBCA,kredit perbankan,"Pencadangan Ditambah,Bank Yakin Kredit 2023 Tetap Tumbuh Kuat",,https://www.cnbcindonesia.com/mymoney/20230119142231-74-406814/pencadangan-ditambahbank-yakin-kredit-2023-tetap-tumbuh-kuat,1
2023-01-19,3 tahun yang lalu,CNBC Indonesia,BBCA,BBCA,"Aduh, 10 Saham Ini Dibuang-Buangin Asing",,https://www.cnbcindonesia.com/market/20230119114050-17-406737/aduh-10-saham-ini-dibuang-buangin-asing,0
2023-01-19,3 tahun yang lalu,CNBC Indonesia,BBCA,kredit perbankan,Jurus Bank Atur Suku Bunga Kredit Kala Moneter Makin Ketat,,https://www.cnbcindonesia.com/mymoney/20230119145625-74-406831/jurus-bank-atur-suku-bunga-kredit-kala-moneter-makin-ketat,1
